scorer,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke
bodyparts,cup_head,cup_head,cup_middle,cup_middle,cup_tail,cup_tail,pitcher_head,pitcher_head,pitcher_middle,pitcher_middle,pitcher_tail,pitcher_tail,tap_head,tap_head,tap_middle,tap_middle,tap_tail,tap_tail,teabag_head,teabag_head,teabag_middle,teabag_middle,teabag_tail,teabag_tail
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/1636314812_saved_stream.pkl_left/img005.png,1223.845109178058,441.14317415231653,1220.9819811823186,492.67947807562564,1220.9819811823186,544.2157819989347,536.6943902006036,426.8275341736196,568.1887981537369,552.8051659861529,613.9988460855672,678.7827977986861,450.80055032842176,186.32478253151066,456.52680631990063,240.72421445055897,439.34803834546426,346.6599502929166,1467.2109888159061,521.3107580330195,1467.2109888159061,555.6682939818922,1467.2109888159061,604.3414699094619
labeled-data/1636314812_saved_stream.pkl_left/img011.png,1223.845109178058,444.00630214805597,1223.845109178058,495.54260607136507,1223.845109178058,544.2157819989347,528.1050062133854,429.69066216935903,559.5994141665187,547.0789099946741,613.9988460855672,678.7827977986861,450.80055032842176,180.5985265400318,456.52680631990063,240.72421445055897,439.34803834546426,340.93369430143787,1467.2109888159061,524.173886028759,1467.2109888159061,558.5314219776317,1467.2109888159061,601.4783419137226
labeled-data/1636314812_saved_stream.pkl_left/img050.png,1143.6775252973548,297.98677436534695,1140.8143973016154,363.838718267353,1140.8143973016154,429.69066216935903,533.8312622048642,429.69066216935903,571.0519261494763,552.8051659861529,625.4513580685248,678.7827977986861,447.93742233268244,183.46165453577123,456.52680631990063,246.45047044203784,436.4849103497248,338.07056630569843,1470.0741168116456,524.173886028759,1467.2109888159061,558.5314219776317,1464.3478608201667,604.3414699094619
labeled-data/1636314812_saved_stream.pkl_left/img065.png,926.079797621161,312.3024143440439,926.079797621161,369.56497425883174,931.8060536126399,432.55379016509835,542.4206461920824,429.69066216935903,568.1887981537369,558.5314219776317,622.5882300727853,678.7827977986861,453.6636783241612,183.46165453577123,456.52680631990063,240.72421445055897,439.34803834546426,335.207438309959,1470.0741168116456,527.0370140244984,1472.937244807385,561.3945499733711,1472.937244807385,598.6152139179832
labeled-data/1636314812_saved_stream.pkl_left/img074.png,907.0411490193605,370.48447373399745,910.4314498328813,417.94868512328924,915.5169010531627,473.88864854638314,529.0226083117866,424.72928675033086,571.4013684807971,555.2558680708834,623.9510310903702,675.6115469508733,461.21659204136967,182.32277858359066,459.5214416346093,241.65304282020543,439.1796367534842,338.2766160055494,1469.8310840638203,523.0480103424353,1468.13593365706,560.3413192911646,1468.13593365706,599.3297786466543
labeled-data/1636314812_saved_stream.pkl_left/img112.png,890.0896449517563,489.14500220722687,896.8702465787978,551.8655672573625,905.3459986125999,617.976433121019,545.9741123793908,423.0341363435705,586.657722141641,550.1704168506021,635.817083937693,673.9163965441129,452.74084000756756,184.01792899035104,459.5214416346093,241.65304282020543,439.1796367534842,331.49601437850765,1466.4407832502995,523.0480103424353,1468.13593365706,556.9510184776437,1471.5262344705807,602.7200794601752
labeled-data/1636314812_saved_stream.pkl_left/img121.png,915.5169010531627,624.7570347480606,922.2975026802042,673.9163965441129,927.3829539004855,717.9903071198838,539.1935107523491,424.72928675033086,576.4868197010783,550.1704168506021,629.0364823106515,673.9163965441129,461.21659204136967,180.62762817683006,459.5214416346093,239.95789241344482,439.1796367534842,341.66691681907025,1468.13593365706,524.7431607491958,1469.8310840638203,563.7316201046855,1469.8310840638203,601.0249290534148
labeled-data/1636314812_saved_stream.pkl_left/img147.png,918.9072018666834,640.0133884089045,923.9926530869648,687.4775997981963,932.4684051207669,729.8563599672068,547.6692627861512,426.42443715709135,586.657722141641,555.2558680708834,635.817083937693,672.2212461373524,462.91174244813016,184.01792899035104,461.21659204136967,241.65304282020543,444.26508797376556,334.8863151920285,1468.13593365706,524.7431607491958,1464.7456328435392,558.6461688844042,1464.7456328435392,597.6346282398939
