scorer,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke
bodyparts,cup_head,cup_head,cup_middle,cup_middle,cup_tail,cup_tail,pitcher_head,pitcher_head,pitcher_middle,pitcher_middle,pitcher_tail,pitcher_tail,tap_head,tap_head,tap_middle,tap_middle,tap_tail,tap_tail,teabag_head,teabag_head,teabag_middle,teabag_middle,teabag_tail,teabag_tail
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/1636314812_saved_stream.pkl_left/img005.png,1223.845109178058,441.14317415231653,1220.9819811823186,492.67947807562564,1220.9819811823186,544.2157819989347,536.6943902006036,426.8275341736196,568.1887981537369,552.8051659861529,613.9988460855672,678.7827977986861,450.80055032842176,186.32478253151066,456.52680631990063,240.72421445055897,439.34803834546426,346.6599502929166,1467.2109888159061,521.3107580330195,1467.2109888159061,555.6682939818922,1467.2109888159061,604.3414699094619
labeled-data/1636314812_saved_stream.pkl_left/img011.png,1223.845109178058,444.00630214805597,1223.845109178058,495.54260607136507,1223.845109178058,544.2157819989347,528.1050062133854,429.69066216935903,559.5994141665187,547.0789099946741,613.9988460855672,678.7827977986861,450.80055032842176,180.5985265400318,456.52680631990063,240.72421445055897,439.34803834546426,340.93369430143787,1467.2109888159061,524.173886028759,1467.2109888159061,558.5314219776317,1467.2109888159061,601.4783419137226
labeled-data/1636314812_saved_stream.pkl_left/img050.png,1143.6775252973548,297.98677436534695,1140.8143973016154,363.838718267353,1140.8143973016154,429.69066216935903,533.8312622048642,429.69066216935903,571.0519261494763,552.8051659861529,625.4513580685248,678.7827977986861,447.93742233268244,183.46165453577123,456.52680631990063,246.45047044203784,436.4849103497248,338.07056630569843,1470.0741168116456,524.173886028759,1467.2109888159061,558.5314219776317,1464.3478608201667,604.3414699094619
labeled-data/1636314812_saved_stream.pkl_left/img065.png,926.079797621161,312.3024143440439,926.079797621161,369.56497425883174,931.8060536126399,432.55379016509835,542.4206461920824,429.69066216935903,568.1887981537369,558.5314219776317,622.5882300727853,678.7827977986861,453.6636783241612,183.46165453577123,456.52680631990063,240.72421445055897,439.34803834546426,335.207438309959,1470.0741168116456,527.0370140244984,1472.937244807385,561.3945499733711,1472.937244807385,598.6152139179832
labeled-data/1636314812_saved_stream.pkl_left/img074.png,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/1636314812_saved_stream.pkl_left/img112.png,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/1636314812_saved_stream.pkl_left/img121.png,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/1636314812_saved_stream.pkl_left/img147.png,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/1636314812_saved_stream.pkl_left/img157.png,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/1636314812_saved_stream.pkl_left/img165.png,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/1636314812_saved_stream.pkl_left/img196.png,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/1636314812_saved_stream.pkl_left/img231.png,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/1636314812_saved_stream.pkl_left/img237.png,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/1636314812_saved_stream.pkl_left/img246.png,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/1636314812_saved_stream.pkl_left/img264.png,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/1636314812_saved_stream.pkl_left/img274.png,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/1636314812_saved_stream.pkl_left/img295.png,,,,,,,,,,,,,,,,,,,,,,,,
