scorer,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke
bodyparts,cup_head,cup_head,cup_middle,cup_middle,cup_tail,cup_tail,pitcher_head,pitcher_head,pitcher_middle,pitcher_middle,pitcher_tail,pitcher_tail,tap_head,tap_head,tap_middle,tap_middle,tap_tail,tap_tail,teabag_head,teabag_head,teabag_middle,teabag_middle,teabag_tail,teabag_tail
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/1636318488_saved_stream.pkl_right/img005.png,922.4673590504451,344.0792284866468,924.6038575667656,393.2186943620177,933.1498516320476,442.3581602373887,234.51483679525234,442.3581602373887,315.70178041543033,564.1385756676557,403.2982195845698,688.0554896142432,191.78486646884278,177.43234421364969,189.64836795252234,237.25430267062302,159.73738872403572,335.5332344213649,1251.4881305637982,495.77062314540046,1302.7640949554896,508.58961424332335,1356.1765578635013,523.5451038575667
labeled-data/1636318488_saved_stream.pkl_right/img038.png,922.4673590504451,339.8062314540059,926.740356083086,391.08219584569724,935.286350148368,442.3581602373887,240.92433234421378,446.6311572700296,322.1112759643918,564.1385756676557,413.9807121661722,685.9189910979228,187.5118694362019,181.7053412462908,191.78486646884278,241.52729970326402,155.46439169139478,339.8062314540059,1249.3516320474776,500.04362017804146,1300.627596439169,512.8626112759644,1354.0400593471809,525.6816023738871
labeled-data/1636318488_saved_stream.pkl_right/img055.png,926.740356083086,337.66973293768535,933.1498516320476,395.35519287833824,937.4228486646884,438.0851632047477,245.19732937685467,448.76765578635,313.5652818991099,555.5925816023738,411.84421364985167,681.6459940652818,191.78486646884278,181.7053412462908,193.92136498516334,250.0732937685459,159.73738872403572,329.12373887240346,1249.3516320474776,497.907121661721,1298.4910979228487,512.8626112759644,1351.9035608308604,525.6816023738871
labeled-data/1636318488_saved_stream.pkl_right/img097.png,931.0133531157269,335.5332344213649,933.1498516320476,386.80919881305635,939.5593471810089,440.22166172106813,243.06083086053422,442.3581602373887,322.1112759643918,564.1385756676557,409.7077151335312,679.5094955489614,191.78486646884278,175.29584569732924,232.3783382789319,258.6192878338278,,,1249.3516320474776,500.04362017804146,1296.354599406528,510.7261127596438,1349.76706231454,525.6816023738871
labeled-data/1636318488_saved_stream.pkl_right/img111.png,928.8768545994064,337.66973293768535,933.1498516320476,388.9456973293768,939.5593471810089,444.49465875370913,230.24183976261133,440.22166172106813,330.65727002967367,562.0020771513352,426.799703264095,675.2364985163204,193.92136498516334,179.56884272997036,247.33382789317523,241.52729970326402,292.2002967359051,322.714243323442,1249.3516320474776,497.907121661721,1298.4910979228487,510.7261127596438,1351.9035608308604,525.6816023738871
labeled-data/1636318488_saved_stream.pkl_right/img124.png,924.6038575667656,335.5332344213649,928.8768545994064,382.53620178041535,937.4228486646884,442.3581602373887,285.79080118694367,429.5391691394658,362.7047477744808,566.2750741839761,422.5267062314541,673.0999999999999,191.78486646884278,177.43234421364969,249.47032640949567,243.66379821958446,311.42878338278945,341.94272997032635,1249.3516320474776,497.907121661721,1300.627596439169,512.8626112759644,1349.76706231454,525.6816023738871
labeled-data/1636318488_saved_stream.pkl_right/img158.png,926.740356083086,339.8062314540059,928.8768545994064,386.80919881305635,937.4228486646884,440.22166172106813,283.6543026706232,427.40267062314535,360.56824925816034,566.2750741839761,422.5267062314541,677.3729970326409,189.64836795252234,175.29584569732924,213.14985163204756,245.8002967359049,215.286350148368,367.580712166172,1249.3516320474776,495.77062314540046,1294.2181008902076,510.7261127596438,1356.1765578635013,527.8181008902077
labeled-data/1636318488_saved_stream.pkl_right/img194.png,928.8768545994064,337.66973293768535,931.0133531157269,395.35519287833824,941.6958456973293,440.22166172106813,292.2002967359051,427.40267062314535,369.1142433234422,566.2750741839761,437.48219584569733,673.0999999999999,189.64836795252234,175.29584569732924,189.64836795252234,241.52729970326402,157.60089020771522,333.39673590504447,1251.4881305637982,495.77062314540046,1296.354599406528,508.58961424332335,1354.0400593471809,529.9545994065281
